User,Name,Surname,Origin,Gender,Birthdate,Location,Employment,Frequency.Applications,Frequency.Assignment,Frequency.Course_view,Frequency.Feedback,Frequency.General,Frequency.Group_work,Frequency.Instructions,Frequency.La_types,Frequency.Practicals,Frequency.Social,Frequency.Ethics,Frequency.Theory,Frequency.Total,ActivityGroup,Grade.SNA_1,Grade.SNA_2,Grade.Review,Grade.Group_self,Grade.Group_All,Grade.Excercises,Grade.Project,Grade.Literature,Grade.Data,Grade.Introduction,Grade.Theory,Grade.Ethics,Grade.Critique,Final_grade,AchievingGroup
e7ea6fc25,Oscar,Lopez,Honduras,M,26.5.1995,On campus,None,0,46,95,17,1,71,52,3,37,10,6,4,342,Low activity,9,10,6.67,0,3,10,6,6.67,4,6,2,6,6,5.60420315303208,Low achiever
ebd217fd4,Catalina,Sosa,Argentina,F,5.2.1999,On campus,Part-time,14,31,129,27,30,156,40,17,44,12,21,14,535,Moderate activity,10,10,10,9,9.65,3.33,10,10,4,10,10,10,10,9.45242265026589,High achiever
ec3b8cb91,Lucas,Peeters,Belgium,M,29.4.1998,Remote,None,0,10,117,8,9,218,9,2,60,0,0,3,436,Low activity,10,9,4.33,10,9.29,10,7.33,1,2,4,2,2,4,5.85055458344512,Low achiever
efe124d2f,Monique,Pinas,Suriname,F,14.8.1982,On campus,None,13,39,248,38,20,431,47,14,72,31,16,16,985,High activity,10,10,9.33,10,9.18,10,6,9.67,5,8,2,10,10,7.93228254525434,Low achiever
f00e4ce1a,Aminath,Rasheed,Maldives,M,5.6.1992,On campus,None,0,44,135,18,9,260,29,12,77,2,0,2,588,Moderate activity,7,10,7.33,9,8.56,10,5.33,7.33,4,6,2,4,4,5.01342673739047,Low achiever
f2e9d3686,Mahamat,Saleh,Chad,M,30.9.1995,On campus,None,5,59,52,15,30,146,9,16,52,1,7,14,406,Low activity,10,10,9.33,10,9.29,10,6,9.67,5,8,4,8,10,6.84296555862906,Low achiever
f753ce9bf,Dechen,Wangmo,Bhutan,F,29.4.1999,On campus,None,11,40,253,39,19,433,45,13,72,28,17,16,986,High activity,8,9,8.67,9,9.29,10,7.33,8.67,5,8,4,8,8,8.23817863404414,High achiever
f80cd4322,Blanca,Hernandez,El Salvador,F,12.12.1993,On campus,None,0,18,80,6,14,58,19,14,16,9,0,12,246,Low activity,10,9.5,3.67,0,4,10,7.33,3.67,3,4,2,4,4,0,Low achiever
f87eaa00c,Prasert,Wang,Thailand ,M,9.4.1997,On campus,None,0,51,52,10,17,65,18,14,56,12,0,17,312,Low activity,5,7,0,1,3,0,5.67,0.67,1,2,2,4,4,2.80210157651604,Low achiever
f911affae,Valeria,Castillo,Venezuela,F,26.10.1994,On campus,None,0,26,60,12,3,80,21,9,44,8,1,4,268,Low activity,5,9,6.67,2,4,10,5,6.67,4,6,2,4,4,4.6701692941934,Low achiever
f98e6e2b8,Linda,Mensah,Ghana,F,7.2.1991,Remote,None,0,36,175,30,17,213,51,19,44,25,4,4,618,Moderate activity,10,10,10,10,9.65,3.33,10,10,5,10,6,8,10,9.5061295971424,High achiever
f99681e2f,Alteo,Hoxha,Albania,M,30.10.1997,On campus,None,6,55,111,14,17,142,17,13,103,1,8,6,493,Low activity,10,10,8.67,10,8.96,10,7.33,8.67,5,10,2,6,6,7.97314652709881,High achiever
fc95def14,Riko,Suzuki,Japan,F,22.7.1998,On campus,Part-time,7,84,491,56,49,457,176,25,145,67,32,28,1617,High activity,10,10,9.33,10,9.42,10,10,9.67,4,10,2,10,10,9.03911266772306,High achiever
